project_name,project_name_crawl,project_name_hd,address,city,district,ward,lat_cdnt,long_cdnt,alias,alias_cum_perc,sector,building,max_building_num,project_name_accent_rm
Blue Sapphire Bình Phú,Blue Sapphire Bình Phú,,"29 Bình Phú, Phường 10, Quận 6, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 06,P. 10,,,"Bán Chung Cư Blue Sapphire Bình Phú, Bán Căn Hộ Chung Cư Tại Blue Sapphire Bình Phú, Blue Sapphire Bình Phú",1.0,,,,Blue Sapphire Binh Phu
Blue Diamond Tower,Blue Diamond Tower,,"Đường Lê Văn Lương, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Nhà Bè,X. Phú Xuân,,,,,,,,Blue Diamond Tower
Blooming Tower Đà Nẵng,Blooming Tower Đà Nẵng,,"Đường Xuân Diệu, Phường Thuận Phước, Hải Châu, Đà Nẵng.",TP. Đà Nẵng,Q. Hải Châu,P. Thuận Phước,,,,,,,,Blooming Tower Da Nang
Biệt Thự Phố Cổ 33 Đường Thành,Biệt thự phố cổ 33 Đường Thành,,"33 Đường Thành, Phường Cửa Đông, Hoàn Kiếm, Hà Nội.",TP. Hà Nội,Q. Hoàn Kiếm,P. Cửa Đông,,,,,,,,Biet Thu Pho Co 33 Duong Thanh
Biển Bắc,Chung cư Biển Bắc,,"Phường Ngọc Khánh, Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Ngọc Khánh,,,Chung Cư Biển Bắc,1.0,,,,Bien Bac
BìNh Sơn Ocean Part,Bình Sơn Ocean Part,,"Đường Yên Ninh, Phường Mỹ Bình, Phan Rang - Tháp Chàm, Ninh Thuận.",T. Ninh Thuận,TP. Phan Rang - Tháp Chàm,P. Mỹ Bình,,,,,,,,BiNh Son Ocean Part
BìNh An Pearl,Bình An Pearl,,"02 Trần Não, Phường Bình An, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,UNK,,,,,,,,BiNh An Pearl
Biên Hòa New Town 2,Biên Hòa New Town 2,,"Đường Nguyễn Thị Tồn, Phường Bửu Hòa, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Bửu Hòa,,,,,,,,Bien Hoa New Town 2
Biên Hòa New City,Biên Hòa New City,,"Đường Quốc Lộ 51, Xã Phước Tân, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Phước Tân,,,,,,,,Bien Hoa New City
Biên Hòa Golden Town,Biên Hòa Golden Town,,"Ấp Đức 2, Xã Tam Phước, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Tam Phước,,,,,,,,Bien Hoa Golden Town
Biên Hòa City,Biên Hòa City,,"Đường Quốc Lộ 51, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,UNK,,,,,,,,Bien Hoa City
Biên Hòa Center Mall,Biên Hòa Center Mall,,"Đường Hoàng Tam Kỳ, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,UNK,,,,,,,,Bien Hoa Center Mall
Biên Hòa Center City,Biên Hòa Center City,,"Đường Nguyễn Thị Tồn, Phường Bửu Hòa, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Bửu Hòa,,,,,,,,Bien Hoa Center City
Biên Hoà Universe Complex,Biên Hoà Universe Complex,Chung cư Biên Hòa Universe Complex,"Đường Xa Lộ Hà Nội, Phường Hố Nai, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Hố Nai,10.96314304,106.8806831,"Khu Đô Thị Bien Hoa Riverside, Biên Hòa Universe Complex",1.0,,,,Bien Hoa Universe Complex
Bita Smarthome,BiTa SmartHome,,"246 Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. Bình Hưng Hòa B,,,,,,,,Bita Smarthome
Binh Đoàn 12,Chung cư Binh Đoàn 12,,"Đường Ngọc Hồi, Xã Ngũ Hiệp, Thanh Trì, Hà Nội.",TP. Hà Nội,H. Thanh Trì,X. Ngũ Hiệp,,,Căn Hộ Chung Cư Binh Đoàn 12,0.6551724138,,,,Binh Doan 12
Bigemco Building,Bigemco Building,,"281/2 Lý Thường Kiệt, Phường 15, Quận 11, TP.HCM.",TP. Hồ Chí Minh,Q. 11,P. 15,,,"Bigemco Building, Căn Hộ Chung Cư Bigemco Building, Bigemco",1.0,,,,Bigemco Building
Bid Residence,BID Residence,,"Đường Tố Hữu, Khu đô thị Văn Khê, Phường La Khê, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. La Khê,,,Bid Residence,0.7712389381,,,,Bid Residence
Biconsi Tower,Biconsi Tower,Chung cư Biconsi Tower,"1 Đường Phú Lợi, Phường Phú Lợi, Thủ Dầu Một, Bình Dương.",T. Bình Dương,TP. Thủ Dầu Một,P. Phú Lợi,10.9850338,106.6674586,,,,,,Biconsi Tower
Beverly Hills Hạ Long,Beverly Hills Hạ Long,,"Đường Hải Quân, Phường Bãi Cháy, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,P. Bãi Cháy,,,,,,,,Beverly Hills Ha Long
Berriver Jardin,Berriver Long Biên,Berriver Jardin,"390 Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội.",TP. Hà Nội,Q. Long Biên,P. Long Biên,21.04526,105.87777,,,,,,Berriver Jardin
Bencat Center Point,BenCat Center Point,,"Xã Thới Hòa, Bến Cát, Bình Dương.",T. Bình Dương,TX. Bến Cát,P. Thới Hòa,,,,,,,,Bencat Center Point
Belleza Apartment,Belleza Apartment,,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 07,P. Phú Mỹ,,,"Belleza Apartment, Căn Hộ Chung Cư Belleza Apartment",0.7954224357,,,,Belleza Apartment
Bella Vista City,Bella Vista City,,"Đường Tỉnh lộ 8, Xã Đức Lập Hạ, Đức Hòa, Long An.",T. Long An,H. Đức Hòa,X. Đức Lập Hạ,,,,,,,,Bella Vista City
Bella Vista,Bella Vista,,"Đường Nguyễn Duy, Phường 9, Quận 8, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 08,P. 09,,,,,,,,Bella Vista
Bella Villa,Bella Villa,,"Đường Tỉnh lộ 824, Đức Hòa, Long An.",T. Long An,H. Đức Hòa,TT. Đức Hòa,,,,,,,,Bella Villa
Bella Vida,Bella Vida,,"KDC Thạnh Mỹ Lợi B, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thạnh Mỹ Lợi,,,,,,,,Bella Vida
Belhomes Từ Sơn,Belhomes Từ Sơn,,"Đường Hữu Nghị, Xã Phù Chẩn, Từ Sơn, Bắc Ninh.",T. Bắc Ninh,TP. Từ Sơn,P. Phù Chẩn,,,,,,,,Belhomes Tu Son
Bee Home 2,Bee Home 2,,"359 Phạm Văn Chiêu, Phường 14, Q. Gò Vấp, Tp.HCM.",TP. Hồ Chí Minh,Q. Gò Vấp,P. 14,,,,,,,,Bee Home 2
Bee Home,Bee Home,,"Đường Thân Nhân Trung, Phường 13, Tân Bình, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Bình,P. 13,,,Bán Chung Cư Bee Home,0.5925925926,,,,Bee Home
Becamex City Center,Becamex City Center,,"Đường Quốc Lộ 13, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương.",T. Bình Dương,TP. Thủ Dầu Một,P. Chánh Nghĩa,,,,,,,,Becamex City Center
Beacon Pass Residential,Beacon Pass Residential,,"Số 1209 Trần Phú, Phường Lộc Tiến, Bảo Lộc, Lâm Đồng.",T. Lâm Đồng,TP. Bảo Lộc,P. Lộc Tiến,,,,,,,,Beacon Pass Residential
Bea Sky,Bea Sky,Bea Sky Tower,"Khu đô thị mới Tây Nam Kim Giang I, phường Đại Kim, quận Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Đại Kim,20.977147,105.809874,"Dự Án Bea Sky, Căn Hộ Chung Cư Đại Đông Á Tower, Bán Căn Hộ Chung Cư Tại Bea Sky, Khu Biệt Thự Tây Nam Kim Giang, Bea Sky",0.9929789368,,,,Bea Sky
Bcons Tower,BCons Tower,,"Đường  D1, phường 25, quận Bình Thạnh, Tp.HCM.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 25,,,,,,,,Bcons Tower
Bcons Suối Tiên,Bcons Suối Tiên,Chung cư Bcons Suối Tiên,"195/7 Đường Tân Lập, Phường Đông Hòa, Dĩ An, Bình Dương.",T. Bình Dương,TP. Dĩ An,P. Đông Hòa,10.87601449,106.8088545,Bcons Suối Tiên,1.0,,,,Bcons Suoi Tien
Bcons Sala,Bcons Sala,,"Khu phố Đông Tân, Phường Dĩ An, Thành phố Dĩ An, Bình Dương.",T. Bình Dương,TP. Dĩ An,P. Dĩ An,,,,,,,,Bcons Sala
Bcons Plaza,Bcons Plaza,Chung cư Bcons Plaza,"Đường Thống Nhất, Phường Đông Hòa, Dĩ An, Bình Dương.",T. Bình Dương,TP. Dĩ An,P. Đông Hòa,10.89321545,106.7918647,,,,,,Bcons Plaza
Bcons Miền Đông,Bcons Miền Đông,,"Đường Tân Lập, Phường Đông Hòa, Dĩ An, Bình Dương.",T. Bình Dương,TP. Dĩ An,P. Đông Hòa,,,,,,,,Bcons Mien Dong
Bcons Green View,Bcons Green View,Chung cư Bcons Green View,"Đường Quốc lộ 1K, Khu phố Tân Hòa, Phường Đông Hòa, Dĩ An, Bình Dương.",T. Bình Dương,TP. Dĩ An,P. Đông Hòa,10.88802197,106.7798334,Bcons Green View,1.0,,,,Bcons Green View
Bcons Garden,Bcons Garden,Chung cư Bcons Garden,"65 Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương.",T. Bình Dương,TP. Dĩ An,P. Dĩ An,10.90648401,106.7540158,Bcons Garden,1.0,,,,Bcons Garden
Bcons Bee,Bcons Bee,Chung cư Bcons Bee,"Phường Bình An, Dĩ An, Bình Dương.",T. Bình Dương,TP. Dĩ An,P. Dĩ An,10.899461,106.794257,,,,,,Bcons Bee
Bau Cat 2,Bàu Cát II,,"Hồng Lạc, P.10, Q.Tân Bình, TP. Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Bình,UNK,,,"Bàu Cát Ii, Bán Chung Cư Khu Chung Cư Bàu Cát Ii",0.7384305835,,,,Bau Cat 2
Barya Citi,Barya Citi,,"Đường Nguyễn Văn Cừ, Bà Rịa, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TP. Bà Rịa,UNK,,,,,,,,Barya Citi
Ban Cơ Yếu Chính Phủ,Chung cư Ban cơ yếu Chính phủ,Chung cư Ban cơ yếu Chính Phủ,"Ngõ 164 Khuất Duy Tiến, phường Nhân Chính, quận Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Nhân Chính,20.999838,105.797931,"Chung Cư Ban Cơ Yếu Chính Phủ, Bán Căn Hộ Chung Cư Tại Đường Lê Trọng Tấn, Chung Cư Ban Cơ Yếu Chính Phủ-Lê Văn Lương-Khuất Duy Tiến, Bán Căn Hộ Chung Cư Tại Chung Cư Ban Cơ Yếu Chính Phủ, Căn Hộ Chung Cư Ban Cơ Yếu Chính Phủ",0.9972337483,,,,Ban Co Yeu Chinh Phu
Bac Ha Tower,C37 Bộ Công An - Bắc Hà Tower,Bắc Hà Tower,"Đường Tố Hữu, Trung Văn, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Trung Văn,20.996746,105.794109,Dự Án Bắc Hà Tower,1.0,,,,Bac Ha Tower
Ba Đồn Euro Village,Ba Đồn Euro Village,,"Đường Hùng Vương, Phường Ba Đồn, Ba Đồn, Quảng Bình.",T. Quảng Bình,TX. Ba Đồn,P. Ba Đồn,,,,,,,,Ba Don Euro Village
B7 B10 Kim Lien,Chung cư B7 - B10 Kim Liên,,"Phố Phạm Ngọc Thạch, Phường Kim Liên, Đống Đa, Hà Nội.",TP. Hà Nội,Q. Đống Đa,P. Kim Liên,,,"Căn Hộ Chung Cư B7 B10 Kim Liên, Chung Cư B7 B10 Kim Liên",0.7462686567,,,,B7 B10 Kim Lien
B4 B14 Kim Lien,Chung cư B4 - B14 Kim Liên,,"Đường Phạm Ngọc Thạch, Phường Kim Liên, Đống Đa, Hà Nội.",TP. Hà Nội,Q. Đống Đa,P. Kim Liên,,,"Căn Hộ Chung Cư B4 B14 Kim Liên, Chung Cư B4 B14 Kim Liên",0.7945945946,,,,B4 B14 Kim Lien
B2 Trường Sa,Căn hộ B2 Trường Sa,,"Đường Trường Sa, Phường 17, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 17,,,,,,,,B2 Truong Sa
B1 Trường Sa,Chung cư B1 Trường Sa,,"Đường Trường Sa, Phường 17, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 17,,,"B1 Trường Sa, Chung Cư B1 Trường Sa",0.7031039136,,,,B1 Truong Sa
B1 Giảng Võ,Chung cư B1 Giảng Võ,,"Đường Trần Huy Liệu, Phường Giảng Võ, Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Giảng Võ,,,"Bán Căn Hộ Chung Cư Tại Đường Trần Huy Liệu, Grandeur Palace, Nhà Phố Grandeur Palace 138B Giảng Võ",1.0,,,,B1 Giang Vo
B.I.G Tower,B.I.G Tower,,"18 Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Mỹ Đình 2,,,"B.I.G Tower, Dự Án B.I.G Tower",1.0,,,,B.I.G Tower
Az Lâm Viên Complex,AZ Lâm Viên Complex,AZ Lâm Viên Complex,"107 Nguyễn Phong Sắc, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Dịch Vọng Hậu,21.041319,105.790224,Az Lâm Viên Complex,0.6178343949,,,,Az Lam Vien Complex
Avalon Saigon Apartments,Avalon Saigon Apartments,,"53 Đường Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 01,P. Bến Nghé,,,Avalon Saigon Apartments,1.0,,,,Avalon Saigon Apartments
Aurora Residences,Aurora Residences,Chung cư Aurora Residences,"Số 277 Bến Bình Đông, phường 14, quận 8, Tp.HCM.",TP. Hồ Chí Minh,Q. 08,P. 14,10.74274704,106.6509229,"Aurora Riverside, Căn Hộ Chung Cư Aurora Riverside, Aurora Residences, Dự Án Aurora Residences",1.0,,,,Aurora Residences
Aurora Garden,Aurora Garden,,"727 Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Yên Sở,,,,,,,,Aurora Garden
Aurora Da Nang City,Aurora Da Nang City,,"Phường Hòa Minh, Liên Chiểu, Đà Nẵng.",TP. Đà Nẵng,Q. Liên Chiểu,P. Hòa Minh,,,,,,,,Aurora Da Nang City
Athena Fulland,Athena Fulland,,"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Đại Kim,,,Athena Fulland,1.0,,,,Athena Fulland
Athena Complex Xuan Phuong,Athena Complex,,"Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Phương Canh,,,,,,,,Athena Complex Xuan Phuong
Athena Complex Pháp Vân,Athena Complex Pháp Vân,Athena Complex Pháp Vân,"Đường Ngọc Hồi, Phường Hoàng Liệt, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Hoàng Liệt,20.956074,105.844495,Athena Complex Pháp Vân,0.6761268781,,,,Athena Complex Phap Van
Astral City,Astral City,,"Đường Quốc Lộ 13, Phường Bình Hòa, Thuận An, Bình Dương.",T. Bình Dương,TP. Thuận An,P. Bình Hòa,,,Astral City,0.5,,,,Astral City
Asiana Đà Nẵng,Asiana Đà Nẵng,,"Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng.",TP. Đà Nẵng,Q. Liên Chiểu,P. Hòa Hiệp Nam,,,,,,,,Asiana Da Nang
Asiana Riverside,Asiana Riverside,,"Đường Bến Nghé, Phường Tân Thuận Đông,  Quận 7, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 07,P. Tân Thuận Đông,,,Asiana Riverside,0.7868852459,,,,Asiana Riverside
Asiana Capella,Asiana Capella,,"184 Đường Trần Văn Kiểu, Phường 10, Quận 6, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 06,P. 10,,,"Dự Án Asiana Capella, Căn Hộ Chung Cư Asiana Capella, Asiana Capella, Căn Hộ Chung Cư Bình Phú, Bán Chung Cư Trần Văn Kiểu",1.0,,,,Asiana Capella
Asia Village,Asia Village,,"Đường Nguyễn Tất Thành, Điện Bàn, Quảng Nam.",T. Quảng Nam,TX. Điện Bàn,UNK,,,,,,,,Asia Village
Asia Park Residence,Asia Park Residence,,"Phường Hòa Cường Bắc, quận Hải Châu, TP. Đà Nẵng.",TP. Đà Nẵng,Q. Hải Châu,P. Hòa Cường Bắc,,,,,,,,Asia Park Residence
Ascott Waterfront Saigon,Ascott Waterfront Saigon,,"Số 1 Tôn Đức Thắng, phường Bến Nghé, quận 1, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 01,P. Bến Nghé,,,Ascott Waterfront Saigon,1.0,,,,Ascott Waterfront Saigon
Ascent Plaza Bình Thạnh,Ascent Plaza Bình Thạnh,,"375 Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 13,,,Ascent Plaza Bình Thạnh,0.5454545455,,,,Ascent Plaza Binh Thanh
Ascent Lakeside,Ascent Lakeside,,"70 Đường Nguyễn Văn Linh, Quận 7, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 07,UNK,,,Ascent Lakeside,1.0,,,,Ascent Lakeside
Ascent Garden Homes,Ascent Garden Homes,,"Đường Bến Nghé, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 07,P. Tân Thuận Đông,,,,,,,,Ascent Garden Homes
Asa Light,Asa Light,,"Phường 4, quận 8, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 08,P. 04,,,,,,,,Asa Light
Artex Building 172 Ngọc Khánh,Artex Building 172 Ngọc Khánh,,"172 Ngọc Khánh, Phường Giảng Võ, Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Giảng Võ,,,"Artex Building 172 Ngọc Khánh, Bán Căn Hộ Chung Cư Tại Artex Building 172 Ngọc Khánh, Căn Hộ Chung Cư Artex Building",1.0,,,,Artex Building 172 Ngoc Khanh
Aroma Đồng Kỵ,Aroma Đồng Kỵ,,"Phố Trang Liệt, Phường Trang Hạ, Từ Sơn, Bắc Ninh.",T. Bắc Ninh,TP. Từ Sơn,P. Trang Hạ,,,,,,,,Aroma Dong Ky
Ariyana Lakeside,Ariyana Lakeside,,"Phố Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Văn Quán,,,"Bán Căn Hộ Chung Cư Tại Ariyana Lakeside, Căn Hộ Chung Cư Ct2A Văn Quán, Ariyana Lakeside Văn Quán, Căn Hộ Chung Cư Sdu Tower 143 Trần Phú, Ariyana Lakeside",1.0,,,,Ariyana Lakeside
Arita Home,Arita Home,,"35 Đường Phan Bội Châu, Phường Quán Bàu, Vinh, Nghệ An.",T. Nghệ An,TP. Vinh,P. Quán Bàu,,,Arita Home,1.0,,,,Arita Home
Aria Vũng Tàu Hotel & Resort,Aria Vũng Tàu Hotel & Resort,,"Số 79, Đường D5, Phường 10, Vũng Tàu, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TP. Vũng Tàu,P. 10,,,,,,,,Aria Vung Tau Hotel & Resort
Aquila Plaza,Aquila Plaza,,"102 Đặng Văn Bi, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Bình Thọ,,,Bán Căn Hộ Chung Cư Tại Aquila Plaza,1.0,,,,Aquila Plaza
Aquamarine Town,Aquamarine Town,,"Đường Tỉnh lộ 769, Xã Lộc An, Long Thành, Đồng Nai.",T. Đồng Nai,H. Long Thành,X. Lộc An,,,,,,,,Aquamarine Town
Aqua Park Bắc Giang,Aqua Park Bắc Giang,,"Đường Nguyễn Văn Cừ, Bắc Giang, Bắc Giang.",T. Bắc Giang,TP. Bắc Giang,UNK,,,Aqua Park,1.0,,,,Aqua Park Bac Giang
Aqua Bay Sky Residences,Aqua Bay Sky Residences,Chung cư Aqua Bay Sky Residences,"Xã Xuân Quan, Văn Giang, Hưng Yên.",T. Hưng Yên,H. Văn Giang,X. Xuân Quan,20.953186,105.938919,,,,,,Aqua Bay Sky Residences
Aqh Riverside,AQH Riverside,AQH Riverside,"Phường Thượng Thanh, Long Biên, Hà Nội.",TP. Hà Nội,Q. Long Biên,P. Thượng Thanh,21.0713,105.88473,Aqh Riverside,0.5234375,,,,Aqh Riverside
Apec Villas Hồ Tràm,Apec Villas Hồ Tràm,,"Đường Tỉnh lộ 328, Xã Phước Thuận, Xuyên Mộc, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,H. Xuyên Mộc,X. Xuyên Mộc,,,,,,,,Apec Villas Ho Tram
Apec Mandala Wyndham Hải Dương,Apec Mandala Wyndham Hải Dương,,"Phố Lê Thanh Nghị, Phường Hải Tân, Hải Dương, Hải Dương.",T. Hải Dương,TP. Hải Dương,P. Hải Tân,,,,,,,,Apec Mandala Wyndham Hai Duong
Apec Golden Palace Lạng Sơn,Apec Golden Palace Lạng Sơn,,"85 đường Lê Đại Hành, Xã Mai Pha, Lạng Sơn, Lạng Sơn.",T. Lạng Sơn,TP. Lạng Sơn,X. Mai Pha,,,,,,,,Apec Golden Palace Lang Son
Apec Diamond Park,Apec Diamond Park,,"Đường Quốc lộ 1A, Xã Mai Pha, Lạng Sơn, Lạng Sơn.",T. Lạng Sơn,TP. Lạng Sơn,X. Mai Pha,,,,,,,,Apec Diamond Park
Apartment Building,Apartment Building,,"Phường Thượng Đình, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Thượng Đình,,,"Căn Hộ Chung Cư Apartment Building, Apartment Building",1.0,,,,Apartment Building
Anland Nam Cường,Anland Nam Cường,,"Km 4 Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,UNK,,,Anland Nam Cường,0.5113851992,,,,Anland Nam Cuong
Anland Lakeview,Anland LakeView,,"Đường Ngô Thì Nhậm kéo dài, Phường Dương Nội, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Dương Nội,,,"Tulip Tower, Dự Án Anland Lakeview, Anland Lake View, Anland Lakeview, Bán Căn Hộ Chung Cư Tại Anland Lakeview",0.990562328,,,,Anland Lakeview
Anland 2,Anland 2,,"Lô đất HH01, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Dương Nội,,,Anland 2,0.7448275862,,,,Anland 2
Anhome,AnHome,,"Đường Thuận Giao 21, Phường Thuận Giao, Thuận An, Bình Dương.",T. Bình Dương,TP. Thuận An,P. Thuận Giao,,,,,,,,Anhome
Anh Tuấn Apartment,Anh Tuấn Apartment,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Nhà Bè,X. Phú Xuân,,,"Anh Tuấn Apartment, Căn Hộ Chung Cư Anh Tuấn Apartment",1.0,,,,Anh Tuan Apartment
Anh Dũng Ii - Sao Đỏ I,Anh Dũng II - Sao Đỏ I,,"Đường Phạm Văn Đồng, Phường Anh Dũng, Dương Kinh, Hải Phòng.",TP. Hải Phòng,Q. Dương Kinh,P. Anh Dũng,,,,,,,,Anh Dung Ii - Sao Do I
Angsana Properties Lăng Cô,Angsana Properties Lăng Cô,,"Đường Chân Mây, Xã Lộc Vĩnh, Phú Lộc, Thừa Thiên Huế.",T. Thừa Thiên - Huế,H. Phú Lộc,X. Lộc Vĩnh,,,,,,,,Angsana Properties Lang Co
Angia Star,Angia Star,Chung cư Angia Star,"Quốc lộ 1A, Phường Tân Tạo, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. Tân Tạo,10.76320403,106.5918966,Angia Star,0.6363636364,,,,Angia Star
Angel Beach Garden,Angel Beach Garden,,"Số 383 Trần Quý Cáp, xã Tiến Lợi, TP. Phan Thiết, Bình Thuận.",T. Bình Thuận,TP. Phan Thiết,X. Tiến Lợi,,,,,,,,Angel Beach Garden
Ancruising,AnCruising,,"Đường Trần Phú, Phường Vĩnh Nguyên, Thành phố Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,UNK,,,,,,,,Ancruising
An Đông Villas,An Đông Villas,,"Phường An Đông, Huế, Thừa Thiên Huế.",T. Thừa Thiên - Huế,TP. Huế,P. Hương An,,,,,,,,An Dong Villas
An Viên City,An Viên City,,"Đường Ngô Quyền, quận Sơn Trà, Đà Nẵng.",TP. Đà Nẵng,Q. Sơn Trà,UNK,,,,,,,,An Vien City
An Viên,Căn hộ An Viên,,"Phường Tân Thuận Đông, Quận 7, TPHCM.",TP. Hồ Chí Minh,Q. 07,P. Tân Thuận Đông,,,"Căn Hộ An Viên, An Viên",0.6512820513,,,,An Vien
An Thịnh Luxury Tower,An Thịnh Luxury Tower,,"Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Nhân Chính,,,,,,,,An Thinh Luxury Tower
An Thịnh,Chung cư An Thịnh,,"Đường Thái Thuận, Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,"An Thịnh, Chung Cư An Thịnh",0.7419354839,,,,An Thinh
An Sương,Chung cư An Sương,,"Quốc lộ 1A, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 12,P. Trung Mỹ Tây,,,"Khu Dân Cư An Sương, Căn Hộ Chung Cư I Park An Sương, Chung Cư An Sương, Căn Hộ I Park An Sương",0.8,,,,An Suong
An Sơn Riverside,An Sơn Riverside,,"Xã An Sơn, Thuận An, Bình Dương.",T. Bình Dương,TP. Thuận An,X. An Sơn,,,,,,,,An Son Riverside
An Phú Đông Riverside,An Phú Đông Riverside,,"Đường An Phú Đông 13, Phường An Phú Đông, Quận 12, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 12,P. An Phú Đông,,,An Phú Đông Riverside,1.0,,,,An Phu Dong Riverside
An Phú Residence,An Phú Residence,,"Đường Phan Châu Trinh, Phường Khai Quang, Vĩnh Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Vĩnh Yên,P. Khai Quang,,,,,,,,An Phu Residence
An Phú Plaza,An Phú Plaza,,"117-119 Lý Chính Thắng, Phường 7, Quận 3, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 03,UNK,,,,,,,,An Phu Plaza
